Fact Id,Relevant Image,Heading,Fact,Read More Text,Linking article,Article ID
F13,https://en.wikipedia.org/wiki/1983_Cricket_World_Cup#/media/File:Prudential_Cup_83_logo.svg,Lowest score defended,India scored 183 runs in the final which is the lowest score defended by a country in the World Cup final,Read more about the Indian Cricket team,Indian Cricket team,
F14,https://en.wikipedia.org/wiki/1987_Cricket_World_Cup#/media/File:Worldcup1987.jpg,50 overs,This was the first World Cup to be played with 50 overs instead of 60.,"Read more about the 1987 World Cup
",1987 World cup,
F15,https://en.wikipedia.org/wiki/1987_Cricket_World_Cup#/media/File:Worldcup1987.jpg,Close fight,Australia defeated their arch-rivals England by 7 runs in the closest  World Cup final  at Kolkata's Eden Gardens.  ,"Read more about the 1987 World Cup
",1987 World cup,
F16,https://en.wikipedia.org/wiki/2007_Cricket_World_Cup#/media/File:Australian_World_Cup_treble.jpg,Close fight,Australia defeated their arch-rivals England by 7 runs in the closest  World Cup final  at Kolkata's Eden Gardens.  ,"Read more about the Australian cricket team
",Australian Cricket team,
F17,https://en.wikipedia.org/wiki/1987_Cricket_World_Cup#/media/File:Worldcup1987.jpg,Decline of  Invincible West Indies,West Indies failed to qualify the group stage in 1987 for the first time since the World Cup’s inception. ,"Read more about the 1987 World Cup
",1987 World cup,
F18,https://en.wikipedia.org/wiki/1992_Cricket_World_Cup#/media/File:World_Cup_1992_logo.svg,Colors,"The 1992 World Cup was the first to feature coloured player clothing, white cricket balls and black sight screens.","Read more about the 1992 World Cup
",1992 World cup,
F19,https://en.wikipedia.org/wiki/1992_Cricket_World_Cup#/media/File:World_Cup_1992_logo.svg,End of Apartheid,1992 World cup was the first to have South Africa participate after the end of the Apartheid.,"Read more about the 1992 World Cup
",1992 World cup,
F20,https://en.wikipedia.org/wiki/South_Africa_national_cricket_team#/media/File:South_African_Cricket_team_2008.jpg,End of Apartheid,1992 World cup was the first to have South Africa participate after the end of the Apartheid.,"Read more about the South african cricket team
",South African Cricket team,
F21,https://en.wikipedia.org/wiki/1992_Cricket_World_Cup#/media/File:World_Cup_1992_logo.svg,22 runs off of 1 ball,"In the rain-affected semi-final match between England and South Africa, the final score was calculated using the “Most Productive Overs” method - reducing the required score of 22 off 13 balls to 22 off 1 ball, ending South Africa’s World Cup dreams that year.","Read more about the 1992 World Cup
",1992 World cup,
F22,https://en.wikipedia.org/wiki/South_Africa_national_cricket_team#/media/File:South_African_Cricket_team_2008.jpg,22 runs off of 1 ball,"In the rain-affected semi-final match between England and South Africa, the final score was calculated using the “Most Productive Overs” method - reducing the required score of 22 off 13 balls to 22 off 1 ball, ending South Africa’s World Cup dreams that year.","Read more about the South african cricket team
",South African Cricket team,
F23,https://en.wikipedia.org/wiki/1996_Cricket_World_Cup#/media/File:Wills_World_Cup_1996.svg,Walkover wins  ,"Australia and West Indies forfeited their matches against Sri Lanka due to terrorist attacks in Colombo, Sri Lanka.","Read more about the 1996 World Cup
",1996 World Cup,
F24,https://en.wikipedia.org/wiki/1996_Cricket_World_Cup#/media/File:Wills_World_Cup_1996.svg,Host win,"In the 1996 World Cup, Sri Lanka won to become the first co-host country to win the World Cup.","Read more about the 1996 World Cup
",1996 World Cup,
